,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CXCL10,197.05405673371177,6.400419865680526,0.3910518982252727,16.367187820153337,3.280245718565819e-60,5.157530343301038e-56
RPLP1,115.56722038073,-4.784345231758152,0.2967886494484221,-16.12037805573022,1.8348334776415123e-58,1.442454338447875e-54
RPL13A,260.6074828035685,-3.7648246466375404,0.24421122891183086,-15.416263467544233,1.272573976461652e-53,6.669560210635518e-50
IFIT1,465.02214616689406,3.951713413043824,0.26694683715308615,14.803372293853524,1.3931887491073315e-49,5.476276675553643e-46
RPS18,170.40413904610477,-3.384706071070714,0.23111468746135577,-14.645136180004416,1.4471102883645943e-48,4.550583012791303e-45
IFI44L,370.4251224314509,3.6494267903386084,0.250139653550089,14.589557227510241,3.27315044658688e-48,8.57729074528092e-45
RPS3A,211.90874418744707,-3.2027883350315145,0.21978761741204686,-14.572196435557544,4.220983840506958e-48,9.48093270347013e-45
RPS8,149.58795476289166,-3.534626120829304,0.24424944722219485,-14.471378179267028,1.8375307077831938e-47,3.6114369148093947e-44
RPL13,165.90869449159518,-3.48745985990475,0.25081005654813066,-13.904784791735429,5.924479019791826e-44,1.0350064847576319e-40
IFIT2,585.7516663460447,4.035429149312383,0.29037717468362867,13.89719819992414,6.586974599872546e-44,1.0356700163379604e-40
PLA2G7,155.01634316976651,5.82951187036764,0.4207989639678815,13.853436841666253,1.2126811802420995e-43,1.7333623815405936e-40
PRDX5,56.93344448097608,-3.5595269032076815,0.26036434570426154,-13.671330049356373,1.5061675697210206e-42,1.973456058226967e-39
S100A6,64.04813362329047,-3.3388517695669853,0.24716766426582235,-13.508448928724501,1.3942810581613813e-41,1.686329313651646e-38
CXCL11,68.56193999557894,7.0048223415313755,0.5199650423395233,13.471717848596086,2.2946445115980573e-41,2.577049689704018e-38
IFIT3,451.25415905010954,3.4523893301051793,0.26046243608241554,13.254845428124515,4.229875327563819e-40,4.4337553183523955e-37
RPL3,217.2522915313524,-2.8545456358274506,0.21930538849757514,-13.016304138185886,9.88402822211002e-39,9.141563278602107e-36
RPL21,135.03952276491572,-2.7336746860086008,0.20995196704514604,-13.020476657028786,9.358488851505831e-39,9.141563278602107e-36
OAS3,487.87089014832833,3.24345566623816,0.25032390208644956,12.957035421723452,2.1437347879124215e-38,1.8725523372415003e-35
RPLP2,44.999022638014424,-3.652034951519099,0.2842447918405212,-12.848203577879856,8.803082105772116e-38,7.284782102581841e-35
PCSK5,1179.105178695821,3.7049107189174646,0.2890765358225829,12.816366116934882,1.3277900733399306e-37,1.0438421661561864e-34
RPL10A,55.33589641088946,-3.2397802511831677,0.2540454312762238,-12.75275935846511,3.0090269255089877e-37,2.252901445227515e-34
RPS5,55.555760904022414,-4.018736275670684,0.3168867810570345,-12.681930947909677,7.447427725600831e-37,5.322541187710085e-34
RPL34,54.47214985690536,-3.003303999615095,0.2385374371544855,-12.590493280390392,2.381802699669348e-36,1.6282210368217893e-33
CASP17P,936.266926404244,7.661434203757404,0.6109094947178315,12.541029841574302,4.451723997813723e-36,2.9164356840677154e-33
RPLP0,220.38055236137018,-2.9044441280396165,0.23451469763866864,-12.384913002402408,3.154267572084773e-35,1.9837819614355554e-32
RPS19,52.38819041393632,-3.858851290860083,0.31297452730272635,-12.329601786178554,6.275608684167862e-35,3.795053666968127e-32
RPL26,98.38592369190552,-2.874872385496647,0.23406190875881833,-12.282529868877418,1.1242674627653099e-34,6.546984191503321e-32
CCN5,88.70083702748565,6.456601661807855,0.5286517453839704,12.213336507795496,2.6384294170923518e-34,1.4815723473193947e-31
RSAD2,283.9958383730594,3.595466037732875,0.2947183780690211,12.19966688636852,3.1209810533841063e-34,1.6921098311158036e-31
IGFBP2,21.553870678201314,-4.200687791143904,0.3450767205930108,-12.173199582762535,4.3181755110842945e-34,2.263155785359279e-31
EEF2,226.90253159742508,-3.008914418369498,0.24784859927132627,-12.14013081863562,6.472247777906074e-34,3.282682316516684e-31
ATP5IF1,12.642826944602735,-3.141645044537324,0.25955312373424794,-12.104054073161535,1.005214486726678e-33,4.939058554626112e-31
RPS7,39.08548800549459,-3.077280277590475,0.25453096427718,-12.090003612446019,1.1928147974069278e-33,5.683220321099735e-31
RPL35,36.796697577915616,-3.9190595602865077,0.324311566006865,-12.08424234923385,1.2794410711357164e-33,5.916662341607903e-31
OAZ1,31.890354346780832,-3.715575977885174,0.31018182551106216,-11.978703045426057,4.594552435731493e-33,2.064004227057322e-30
SYNPO2L,52.62357788185792,6.127876707072899,0.5135464675557676,11.932467837309105,8.016126065496192e-33,3.501043059105462e-30
RPL37,95.81064178647554,-2.687892412601521,0.22535133442030636,-11.92756377287871,8.50255173939792e-33,3.613124891852797e-30
RPS17,94.83295404261783,-2.8365019474494004,0.2382230867241214,-11.906914591927285,1.0893395445261706e-32,4.5072856996276265e-30
RPL32,112.37951912277721,-2.8830762806569554,0.2423172708418007,-11.897939716146773,1.2130503587517281e-32,4.89045917709062e-30
XAF1,332.50079169713007,2.7272592437092635,0.2322342851323873,11.74356853534595,7.620186598348241e-32,2.995304847145735e-29
OAS2,390.1074344928328,2.705018309885807,0.23246566081542014,11.636205968646768,2.697503194097946e-31,1.0344595785561465e-28
RPL7,126.35900256412971,-2.8188120229799445,0.2429125929326098,-11.604223514924792,3.9223170442527008e-31,1.4683474020663146e-28
ATP5F1E,23.956379701253532,-3.1114095181596797,0.2688708380240488,-11.572134564780818,5.704551632279997e-31,2.0858759375427534e-28
MT-CO3,5370.759943097968,-0.6034863874006104,0.05221918671045731,-11.55679407162727,6.820797221004422e-31,2.4373498796784663e-28
