sample,condition_raw,condition
POS_001,POS,covid
POS_002,POS,covid
POS_003,POS,covid
POS_004,POS,covid
POS_005,POS,covid
POS_006,POS,covid
POS_007,POS,covid
POS_008,POS,covid
POS_009,POS,covid
POS_010,POS,covid
POS_011,POS,covid
POS_012,POS,covid
POS_013,POS,covid
POS_014,POS,covid
POS_015,POS,covid
POS_016,POS,covid
POS_017,POS,covid
POS_018,POS,covid
POS_019,POS,covid
POS_020,POS,covid
POS_021,POS,covid
POS_022,POS,covid
POS_023,POS,covid
POS_024,POS,covid
POS_025,POS,covid
POS_026,POS,covid
POS_027,POS,covid
POS_028,POS,covid
POS_029,POS,covid
POS_030,POS,covid
POS_031,POS,covid
POS_032,POS,covid
POS_033,POS,covid
POS_034,POS,covid
POS_035,POS,covid
POS_036,POS,covid
POS_037,POS,covid
POS_039,POS,covid
POS_040,POS,covid
POS_041,POS,covid
POS_042,POS,covid
POS_043,POS,covid
POS_044,POS,covid
POS_045,POS,covid
POS_046,POS,covid
POS_047,POS,covid
POS_048,POS,covid
POS_049,POS,covid
POS_050,POS,covid
POS_051,POS,covid
POS_052,POS,covid
POS_053,POS,covid
POS_055,POS,covid
POS_056,POS,covid
POS_057,POS,covid
POS_058,POS,covid
POS_059,POS,covid
POS_060,POS,covid
POS_061,POS,covid
POS_062,POS,covid
POS_063,POS,covid
POS_064,POS,covid
POS_065,POS,covid
POS_066,POS,covid
POS_067,POS,covid
POS_068,POS,covid
POS_069,POS,covid
POS_070,POS,covid
POS_071,POS,covid
POS_072,POS,covid
POS_073,POS,covid
POS_074,POS,covid
POS_075,POS,covid
POS_076,POS,covid
POS_077,POS,covid
POS_078,POS,covid
POS_079,POS,covid
POS_080,POS,covid
POS_081,POS,covid
POS_082,POS,covid
POS_083,POS,covid
POS_084,POS,covid
POS_085,POS,covid
POS_086,POS,covid
POS_087,POS,covid
POS_088,POS,covid
POS_089,POS,covid
POS_090,POS,covid
POS_092,POS,covid
POS_093,POS,covid
POS_094,POS,covid
POS_095,POS,covid
POS_096,POS,covid
POS_097,POS,covid
POS_098,POS,covid
POS_099,POS,covid
POS_100,POS,covid
POS_101,POS,covid
POS_102,POS,covid
POS_103,POS,covid
POS_104,POS,covid
POS_105,POS,covid
POS_106,POS,covid
POS_107,POS,covid
POS_108,POS,covid
POS_109,POS,covid
POS_111,POS,covid
POS_112,POS,covid
POS_113,POS,covid
POS_114,POS,covid
POS_115,POS,covid
POS_116,POS,covid
POS_117,POS,covid
POS_118,POS,covid
POS_119,POS,covid
POS_120,POS,covid
POS_121,POS,covid
POS_122,POS,covid
POS_123,POS,covid
POS_124,POS,covid
POS_125,POS,covid
POS_126,POS,covid
POS_127,POS,covid
POS_128,POS,covid
POS_129,POS,covid
POS_130,POS,covid
POS_131,POS,covid
POS_132,POS,covid
POS_133,POS,covid
POS_134,POS,covid
POS_135,POS,covid
POS_136,POS,covid
POS_137,POS,covid
POS_138,POS,covid
POS_139,POS,covid
POS_141,POS,covid
POS_142,POS,covid
POS_143,POS,covid
POS_144,POS,covid
POS_145,POS,covid
POS_146,POS,covid
POS_147,POS,covid
POS_148,POS,covid
POS_149,POS,covid
POS_150,POS,covid
POS_151,POS,covid
POS_152,POS,covid
POS_153,POS,covid
POS_154,POS,covid
POS_155,POS,covid
POS_156,POS,covid
POS_157,POS,covid
POS_158,POS,covid
POS_159,POS,covid
POS_160,POS,covid
POS_161,POS,covid
POS_162,POS,covid
POS_163,POS,covid
POS_164,POS,covid
POS_165,POS,covid
POS_166,POS,covid
POS_167,POS,covid
POS_168,POS,covid
POS_169,POS,covid
POS_170,POS,covid
POS_171,POS,covid
POS_172,POS,covid
POS_173,POS,covid
POS_174,POS,covid
POS_175,POS,covid
POS_176,POS,covid
POS_177,POS,covid
POS_178,POS,covid
POS_179,POS,covid
POS_180,POS,covid
POS_181,POS,covid
POS_182,POS,covid
POS_183,POS,covid
POS_184,POS,covid
POS_185,POS,covid
POS_186,POS,covid
POS_187,POS,covid
POS_188,POS,covid
POS_189,POS,covid
POS_190,POS,covid
POS_191,POS,covid
POS_192,POS,covid
POS_193,POS,covid
POS_194,POS,covid
POS_195,POS,covid
POS_196,POS,covid
POS_197,POS,covid
POS_198,POS,covid
POS_199,POS,covid
POS_200,POS,covid
POS_201,POS,covid
POS_202,POS,covid
POS_203,POS,covid
POS_204,POS,covid
POS_205,POS,covid
POS_206,POS,covid
POS_207,POS,covid
POS_208,POS,covid
POS_209,POS,covid
POS_210,POS,covid
POS_211,POS,covid
POS_212,POS,covid
POS_213,POS,covid
POS_214,POS,covid
POS_215,POS,covid
POS_216,POS,covid
POS_217,POS,covid
POS_218,POS,covid
POS_219,POS,covid
POS_220,POS,covid
POS_221,POS,covid
POS_222,POS,covid
POS_223,POS,covid
POS_224,POS,covid
POS_225,POS,covid
POS_226,POS,covid
POS_227,POS,covid
POS_228,POS,covid
POS_229,POS,covid
POS_230,POS,covid
POS_231,POS,covid
POS_232,POS,covid
POS_233,POS,covid
POS_234,POS,covid
POS_236,POS,covid
POS_237,POS,covid
POS_238,POS,covid
POS_239,POS,covid
POS_240,POS,covid
POS_241,POS,covid
POS_242,POS,covid
POS_243,POS,covid
POS_244,POS,covid
POS_245,POS,covid
POS_246,POS,covid
POS_247,POS,covid
POS_249,POS,covid
POS_250,POS,covid
POS_251,POS,covid
POS_252,POS,covid
POS_253,POS,covid
POS_254,POS,covid
POS_255,POS,covid
POS_256,POS,covid
POS_257,POS,covid
POS_258,POS,covid
POS_259,POS,covid
POS_260,POS,covid
POS_261,POS,covid
POS_262,POS,covid
POS_263,POS,covid
POS_264,POS,covid
POS_265,POS,covid
POS_266,POS,covid
POS_267,POS,covid
POS_268,POS,covid
POS_269,POS,covid
POS_270,POS,covid
POS_271,POS,covid
POS_272,POS,covid
POS_273,POS,covid
POS_274,POS,covid
POS_275,POS,covid
POS_276,POS,covid
POS_277,POS,covid
POS_278,POS,covid
POS_279,POS,covid
POS_280,POS,covid
POS_281,POS,covid
POS_282,POS,covid
POS_283,POS,covid
POS_284,POS,covid
POS_285,POS,covid
POS_286,POS,covid
POS_287,POS,covid
POS_288,POS,covid
POS_289,POS,covid
POS_290,POS,covid
POS_291,POS,covid
POS_292,POS,covid
POS_293,POS,covid
POS_295,POS,covid
POS_296,POS,covid
POS_297,POS,covid
POS_298,POS,covid
POS_299,POS,covid
POS_300,POS,covid
POS_301,POS,covid
POS_302,POS,covid
POS_303,POS,covid
POS_304,POS,covid
POS_305,POS,covid
POS_306,POS,covid
POS_307,POS,covid
POS_308,POS,covid
POS_309,POS,covid
POS_310,POS,covid
POS_311,POS,covid
POS_312,POS,covid
POS_313,POS,covid
POS_314,POS,covid
POS_315,POS,covid
POS_316,POS,covid
POS_317,POS,covid
POS_318,POS,covid
POS_319,POS,covid
POS_320,POS,covid
POS_321,POS,covid
POS_322,POS,covid
POS_323,POS,covid
POS_324,POS,covid
POS_325,POS,covid
POS_326,POS,covid
POS_327,POS,covid
POS_328,POS,covid
POS_329,POS,covid
POS_330,POS,covid
POS_331,POS,covid
POS_332,POS,covid
POS_333,POS,covid
POS_334,POS,covid
POS_335,POS,covid
POS_336,POS,covid
POS_337,POS,covid
POS_338,POS,covid
POS_339,POS,covid
POS_340,POS,covid
POS_341,POS,covid
POS_342,POS,covid
POS_343,POS,covid
POS_344,POS,covid
POS_345,POS,covid
POS_346,POS,covid
POS_347,POS,covid
POS_348,POS,covid
POS_349,POS,covid
POS_350,POS,covid
POS_351,POS,covid
POS_352,POS,covid
POS_353,POS,covid
POS_354,POS,covid
POS_355,POS,covid
POS_356,POS,covid
POS_357,POS,covid
POS_358,POS,covid
POS_359,POS,covid
POS_360,POS,covid
POS_361,POS,covid
POS_362,POS,covid
POS_363,POS,covid
POS_364,POS,covid
POS_365,POS,covid
POS_366,POS,covid
POS_367,POS,covid
POS_368,POS,covid
POS_369,POS,covid
POS_370,POS,covid
POS_371,POS,covid
POS_372,POS,covid
POS_373,POS,covid
POS_374,POS,covid
POS_375,POS,covid
POS_376,POS,covid
POS_377,POS,covid
POS_378,POS,covid
POS_379,POS,covid
POS_380,POS,covid
POS_381,POS,covid
POS_382,POS,covid
POS_383,POS,covid
POS_384,POS,covid
POS_385,POS,covid
POS_386,POS,covid
POS_387,POS,covid
POS_388,POS,covid
POS_389,POS,covid
POS_390,POS,covid
POS_391,POS,covid
POS_392,POS,covid
POS_393,POS,covid
POS_394,POS,covid
POS_395,POS,covid
POS_396,POS,covid
POS_397,POS,covid
POS_398,POS,covid
POS_399,POS,covid
POS_400,POS,covid
POS_401,POS,covid
POS_402,POS,covid
POS_403,POS,covid
POS_404,POS,covid
POS_405,POS,covid
POS_406,POS,covid
POS_407,POS,covid
POS_408,POS,covid
POS_409,POS,covid
POS_410,POS,covid
POS_411,POS,covid
POS_412,POS,covid
POS_413,POS,covid
POS_414,POS,covid
POS_415,POS,covid
POS_416,POS,covid
POS_417,POS,covid
POS_418,POS,covid
POS_419,POS,covid
POS_420,POS,covid
POS_421,POS,covid
POS_422,POS,covid
POS_423,POS,covid
POS_424,POS,covid
POS_425,POS,covid
POS_426,POS,covid
POS_427,POS,covid
POS_428,POS,covid
POS_429,POS,covid
POS_430,POS,covid
POS_431,POS,covid
POS_432,POS,covid
POS_433,POS,covid
POS_434,POS,covid
POS_435,POS,covid
POS_436,POS,covid
POS_437,POS,covid
POS_438,POS,covid
NEG_001,NEG,control
NEG_002,NEG,control
NEG_003,NEG,control
NEG_004,NEG,control
NEG_005,NEG,control
NEG_006,NEG,control
NEG_007,NEG,control
NEG_008,NEG,control
NEG_009,NEG,control
NEG_010,NEG,control
NEG_011,NEG,control
NEG_012,NEG,control
NEG_013,NEG,control
NEG_014,NEG,control
NEG_016,NEG,control
NEG_018,NEG,control
NEG_019,NEG,control
NEG_020,NEG,control
NEG_021,NEG,control
NEG_022,NEG,control
NEG_023,NEG,control
NEG_024,NEG,control
NEG_025,NEG,control
NEG_026,NEG,control
NEG_027,NEG,control
NEG_028,NEG,control
NEG_030,NEG,control
NEG_031,NEG,control
NEG_032,NEG,control
NEG_035,NEG,control
NEG_036,NEG,control
NEG_037,NEG,control
NEG_038,NEG,control
NEG_039,NEG,control
NEG_040,NEG,control
NEG_042,NEG,control
NEG_043,NEG,control
NEG_046,NEG,control
NEG_047,NEG,control
NEG_048,NEG,control
NEG_049,NEG,control
NEG_050,NEG,control
NEG_051,NEG,control
NEG_052,NEG,control
NEG_054,NEG,control
NEG_055,NEG,control
NEG_056,NEG,control
NEG_057,NEG,control
NEG_058,NEG,control
NEG_059,NEG,control
NEG_060,NEG,control
NEG_062,NEG,control
NEG_063,NEG,control
NEG_065,NEG,control
